TaxonomyInput	nb_genomes	Reads
1909732	1	323
2527978	1	322
1842539	1	322
2705547	1	322
1914471	1	322
34062	1	322
1795631	1	322
1727164	1	321
1241981	1	321
106649	1	320
1486262	1	320
158500	1	320
158836	1	320
2699395	1	320
326522	1	320
2220096	1	319
1390	1	319
47917	1	319
67267	1	319
111781	1	318
779	1	318
51515	1	318
71999	1	318
41899	1	318
2527995	1	318
162209	1	318
656366	1	318
1936003	1	318
1080068	1	317
1359	1	317
47421	1	317
451876	1	316
641491	1	316
585455	1	316
2603277	1	316
913109	1	316
2024580	1	316
1921087	1	316
1238	1	315
2489213	1	315
1821621	1	315
33010	1	314
1978339	1	314
33932	1	314
2060726	1	314
396595	1	314
68270	1	313
1867715	1	313
2213200	1	313
2009329	1	312
43770	1	312
255247	1	312
2528020	1	312
1778540	1	312
2527972	1	312
935222	1	312
1761012	1	311
696485	1	311
444444	1	311
1911175	1	310
2377	1	310
445709	1	310
332411	1	309
2170729	1	309
1136941	1	309
68214	1	309
2341112	1	309
1255	1	308
159	1	308
1719	1	307
1536774	1	306
342950	1	306
1985873	1	306
160799	1	306
93219	1	306
2478663	1	305
1842533	1	304
1803846	1	304
674	1	304
260552	1	304
43263	1	304
1727163	1	304
1494	1	303
475662	1	303
1750	1	302
1126833	1	302
687	1	302
39960	1	302
2712223	1	302
68209	1	302
2010972	1	301
1302	1	300
33059	1	300
558152	1	300
2488809	1	300
208962	1	300
1870819	1	300
1077946	1	299
630	1	299
75985	1	299
2528035	1	299
279826	1	299
2211108	1	298
947516	1	298
2565555	1	298
1712516	1	298
60548	1	298
2126346	1	298
126385	1	298
298654	1	298
327575	1	298
1537400	1	298
2495582	1	298
1241982	1	298
1452	1	297
669041	1	297
666685	1	297
1685010	1	297
1075	1	297
54291	1	297
1355330	1	296
2587844	1	296
42256	1	296
2702	1	296
1335048	1	296
1331682	1	296
56448	1	296
1426	1	295
374606	1	295
313603	1	295
104268	1	295
1486034	1	295
56454	1	294
119858	1	294
1908	1	294
1901	1	294
218208	1	294
2497861	1	293
453783	1	293
437897	1	293
400770	1	293
876364	1	293
1517	1	293
1871025	1	293
53462	1	293
33959	1	293
67780	1	293
1534348	1	292
2789776	1	292
652	1	292
434009	1	292
1408	1	292
1967	1	292
483547	1	292
2055	1	291
1405	1	291
1275	1	291
79880	1	291
69964	1	291
29484	1	291
1842537	1	290
2527982	1	290
453304	1	290
29495	1	290
379347	1	290
2692425	1	289
1663591	1	289
69218	1	288
1830	1	288
206506	1	288
682998	1	288
28108	1	287
1940	1	287
2487063	1	287
1724	1	287
247	1	287
531844	1	287
2599297	1	286
2249356	1	286
44008	1	286
2614639	1	286
484	1	286
2021	1	286
2516557	1	285
174633	1	285
584609	1	285
1842534	1	285
1482074	1	285
244734	1	285
1529068	1	285
2074	1	284
1488	1	284
158899	1	284
