accession	seq_abundance
GCF_014337195.1	4.182398852418039e-05
GCF_003435335.1	3.691607150348575e-05
GCF_019355395.1	3.5678422863484496e-05
GCF_030863805.1	2.8679306416580837e-05
GCF_018866245.1	2.8295208562787347e-05
GCF_003862475.1	1.3016649489668387e-05
GCF_008935055.1	1.5534624308981286e-05
GCF_030644385.1	1.4723751062083912e-05
GCF_024461735.1	1.7711178813811082e-05
GCF_030908465.1	1.1821678388977518e-05
GCF_018885085.1	0.000174380425622246
GCF_900086585.1	1.8607407139329235e-05
GCF_003628755.1	3.123995877520413e-05
GCF_002874775.1	1.4510363365531972e-05
GCF_028747985.1	2.104002688002136e-05
GCF_010450915.1	2.05278964082967e-05
GCF_022343625.1	9.0049607944919e-06
GCF_006274405.1	1.1181515299321696e-05
GCF_900637055.1	1.246184147863334e-05
GCF_961514395.1	1.9076860071743505e-05
GCF_017671885.1	1.1821678388977518e-05
GCF_002220285.1	1.4894461219325466e-05
GCF_000948165.1	1.544926923036051e-05
GCF_000418345.1	0.0002270018315919546
GCF_903886475.1	1.805259912829419e-05
GCF_000876695.1	1.4851783680015078e-05
GCF_002076835.1	2.30458712276096e-05
GCF_002310475.1	1.9247570228985057e-05
GCF_001008755.1	1.199238854621907e-05
GCF_000019245.4	1.0455997131045097e-05
GCF_009734005.1	6.363221111178874e-05
GCF_000210115.1	1.105348268139053e-05
GCF_004168205.1	0.000614172468215796
GCF_958477315.1	6.183975446075243e-05
GCF_902373765.1	0.00019367067339054144
GCF_012317185.1	0.00012483180248288534
GCF_016728785.1	2.8679306416580837e-05
GCF_015097455.1	5.680380482212663e-05
GCF_018406465.1	4.5579611983494546e-05
GCF_010537335.1	2.564920112554328e-05
GCF_013046825.1	5.065823916143074e-05
GCF_013393365.1	2.193625520553951e-05
GCF_026057735.1	1.664424033105138e-05
GCF_018406505.1	1.3016649489668387e-05
GCF_900637515.1	9.559768805526946e-06
GCF_003006415.1	1.3699490118634597e-05
GCF_928721695.1	8.578185401388018e-06
GCF_003945365.1	7.011919708696773e-05
GCF_002320055.1	1.3699490118634597e-05
GCF_902381715.1	9.389058648285394e-06
GCF_015058625.1	9.602446344837334e-06
GCF_026013845.1	9.389058648285394e-06
GCF_000725345.1	9.645123884147722e-06
GCF_003030905.1	0.0006379011800723717
GCF_000741085.1	0.0008492403547374138
GCF_000185665.1	0.0005843408682378346
GCF_002075855.1	0.00022213659211057035
GCF_024665435.1	5.6590417125574694e-05
GCF_020541885.1	3.806836506486623e-05
GCF_026016405.1	0.00020169405078089442
GCF_026016425.1	7.489908148973121e-05
GCF_018310575.1	9.94386665932044e-06
GCF_028870195.1	8.620862940698406e-06
GCF_001678905.1	8.919605715871124e-06
GCF_000732145.1	1.0327964513113933e-05
GCF_000730465.1	2.3728711856575812e-05
GCF_036053395.1	9.517091266216558e-06
GCF_900638215.1	9.858511580699663e-06
GCF_002736145.1	0.0009154332182078258
GCF_014871765.1	2.402745463174853e-05
GCF_900119915.1	9.559768805526946e-06
GCF_003966955.1	8.620862940698406e-06
GCF_003428235.1	3.7812299829003906e-05
GCF_011405655.1	2.1594834891056406e-05
GCF_021378605.1	2.957553474209899e-05
GCF_009834925.2	1.2419163939322952e-05
GCF_900637575.1	1.3059327028978775e-05
GCF_002159895.1	1.3230037186220327e-05
GCF_000814825.1	1.0754739906217815e-05
GCF_022845715.1	8.620862940698406e-06
GCF_016724805.1	0.0029752646530237102
GCF_003609995.1	0.001767575645618346
GCF_006337085.1	0.0006503203440116947
GCF_928721995.1	0.0002823972776168384
GCF_001028665.1	1.0584029748976261e-05
GCF_001522005.1	1.0669384827597039e-05
GCF_004723625.1	9.773156502078887e-06
GCF_001718635.1	0.0001710515775560357
GCF_019278015.1	2.035718625105515e-05
GCF_001634365.1	1.2973971950358e-05
GCF_002902965.1	9.773156502078887e-06
GCF_022879635.1	2.910608180968472e-05
GCF_900185755.1	1.5876044623464393e-05
GCF_007572485.1	8.748895558629572e-06
GCF_000815105.2	1.2077743624839848e-05
GCF_001029105.3	9.645123884147722e-06
GCF_000934605.2	9.218348491043842e-06
GCF_000504585.2	9.986544198630827e-06
GCF_003595305.1	2.2832483531057663e-05
GCF_000954135.1	2.287516107036805e-05
GCF_900637555.1	1.596139970208517e-05
GCF_024496285.1	1.3827522736565761e-05
GCF_018064205.1	1.613210985932672e-05
GCF_013363755.1	1.3614135040013821e-05
GCF_016599875.1	1.758314619587992e-05
GCF_901827165.1	2.150947981243563e-05
GCF_001541225.1	9.303703569664618e-06
GCF_033807855.1	3.1026571078652186e-05
GCF_009811375.1	8.834250637250348e-06
GCF_009859815.1	1.0584029748976261e-05
GCF_011388215.1	8.663540480008794e-06
GCF_011305535.1	1.0157254355872381e-05
GCF_011305995.1	1.2376486400012564e-05
GCF_013154915.1	2.0911994262090194e-05
GCF_001262075.1	1.0797417445528203e-05
GCF_017498525.1	8.578185401388018e-06
GCF_000477435.1	1.894882745381234e-05
GCF_021249385.1	1.203506608552946e-05
GCF_003008575.1	1.156561315311519e-05
GCF_029215875.1	1.7028338184844874e-05
